Column,Row,WholePlot,SubPlot,Block,Nitrogen,Genotype,Yield
1,1,1,1,B1,0.2,GoldenRain,82
1,2,1,2,B1,0.2,Marvellous,70
1,3,1,3,B1,0.2,Victory,90
1,4,2,1,B1,0.6,Victory,116
1,5,2,2,B1,0.6,Marvellous,99
1,6,2,3,B1,0.6,GoldenRain,126
2,1,3,1,B1,0.4,GoldenRain,94
2,2,3,2,B1,0.4,Victory,100
2,3,3,3,B1,0.4,Marvellous,109
2,4,4,1,B1,0,Victory,62
2,5,4,2,B1,0,GoldenRain,80
2,6,4,3,B1,0,Marvellous,63
1,7,1,1,B2,0.6,Victory,86
1,8,1,2,B2,0.6,Marvellous,124
1,9,1,3,B2,0.6,GoldenRain,96
1,10,2,1,B2,0.2,GoldenRain,102
1,11,2,2,B2,0.2,Marvellous,129
1,12,2,3,B2,0.2,Victory,64
2,7,3,1,B2,0.4,GoldenRain,89
2,8,3,2,B2,0.4,Marvellous,132
2,9,3,3,B2,0.4,Victory,112
2,10,4,1,B2,0,GoldenRain,60
2,11,4,2,B2,0,Marvellous,89
2,12,4,3,B2,0,Victory,68
1,13,1,1,B3,0,Victory,53
1,14,1,2,B3,0,GoldenRain,89
1,15,1,3,B3,0,Marvellous,97
1,16,2,1,B3,0.6,GoldenRain,104
1,17,2,2,B3,0.6,Marvellous,121
1,18,2,3,B3,0.6,Victory,113
2,13,3,1,B3,0.2,GoldenRain,82
2,14,3,2,B3,0.2,Victory,74
2,15,3,3,B3,0.2,Marvellous,99
2,16,4,1,B3,0.4,Marvellous,119
2,17,4,2,B3,0.4,Victory,118
2,18,4,3,B3,0.4,GoldenRain,86
3,1,1,1,B4,0.2,Victory,130
3,2,1,2,B4,0.2,GoldenRain,114
3,3,1,3,B4,0.2,Marvellous,140
3,4,2,1,B4,0,Victory,111
3,5,2,2,B4,0,Marvellous,105
3,6,2,3,B4,0,GoldenRain,117
4,1,3,1,B4,0.6,Victory,174
4,2,3,2,B4,0.6,GoldenRain,141
4,3,3,3,B4,0.6,Marvellous,156
4,4,4,1,B4,0.4,Marvellous,118
4,5,4,2,B4,0.4,GoldenRain,161
4,6,4,3,B4,0.4,Victory,157
3,7,1,1,B5,0.2,Victory,89
3,8,1,2,B5,0.2,GoldenRain,103
3,9,1,3,B5,0.2,Marvellous,89
3,10,2,1,B5,0.6,GoldenRain,133
3,11,2,2,B5,0.6,Victory,122
3,12,2,3,B5,0.6,Marvellous,117
4,7,3,1,B5,0,Marvellous,70
4,8,3,2,B5,0,Victory,74
4,9,3,3,B5,0,GoldenRain,64
4,10,4,1,B5,0.4,Victory,81
4,11,4,2,B5,0.4,Marvellous,104
4,12,4,3,B5,0.4,GoldenRain,132
3,13,1,1,B6,0.2,Marvellous,124
3,14,1,2,B6,0.2,GoldenRain,108
3,15,1,3,B6,0.2,Victory,91
3,16,2,1,B6,0.6,Victory,100
3,17,2,2,B6,0.6,GoldenRain,149
3,18,2,3,B6,0.6,Marvellous,144
4,13,3,1,B6,0,Marvellous,96
4,14,3,2,B6,0,Victory,61
4,15,3,3,B6,0,GoldenRain,70
4,16,4,1,B6,0.4,GoldenRain,126
4,17,4,2,B6,0.4,Victory,97
4,18,4,3,B6,0.4,Marvellous,121
